holiday;temp;rain_1h;snow_1h;clouds_all;weather_main;weather_description;date_time;traffic_volume
None;28204;0;0;1;Clear;sky is clear;04/10/2012 03:00;367
None;28169;0;0;1;Clear;sky is clear;04/10/2012 04:00;835
None;28132;0;0;1;Clear;sky is clear;04/10/2012 05:00;2726
None;28074;0;0;1;Clear;sky is clear;04/10/2012 06:00;5689
None;28057;0;0;1;Clear;sky is clear;04/10/2012 07:00;6990
None;28186;0;0;1;Clear;sky is clear;04/10/2012 08:00;5985
None;28498;0;0;1;Clear;sky is clear;04/10/2012 09:00;5309
None;28918;0;0;1;Clear;sky is clear;04/10/2012 10:00;4603
None;29155;0;0;1;Clear;sky is clear;04/10/2012 11:00;4884
None;29497;0;0;1;Clear;sky is clear;04/10/2012 12:00;5104
None;29638;0;0;1;Clear;sky is clear;04/10/2012 13:00;5178
None;29732;0;0;1;Clear;sky is clear;04/10/2012 14:00;5501
None;29817;0;0;1;Clear;sky is clear;04/10/2012 15:00;5713
None;29806;0;0;20;Clouds;few clouds;04/10/2012 16:00;6292
None;29767;0;0;20;Clouds;few clouds;04/10/2012 17:00;6057
None;29636;0;0;40;Clouds;scattered clouds;04/10/2012 18:00;4907
None;29385;0;0;40;Clouds;scattered clouds;04/10/2012 19:00;3503
None;29243;0;0;40;Clouds;scattered clouds;04/10/2012 20:00;3037
None;29177;0;0;75;Clouds;broken clouds;04/10/2012 21:00;2822
None;29136;0;0;75;Clouds;broken clouds;04/10/2012 22:00;1992
None;29112;0;0;75;Clouds;broken clouds;04/10/2012 23:00;1166
None;29063;0;0;75;Clouds;broken clouds;05/10/2012 00:00;627
None;29046;0;0;40;Clouds;scattered clouds;05/10/2012 01:00;388
None;28926;0;0;0;Clear;sky is clear;05/10/2012 03:00;368
None;28321;0;0;75;Clouds;broken clouds;05/10/2012 05:00;2489
None;28224;0;0;90;Clouds;overcast clouds;05/10/2012 06:00;5537
None;28169;0;0;90;Clouds;overcast clouds;05/10/2012 07:00;6628
None;28057;0;0;90;Clouds;overcast clouds;05/10/2012 08:00;5534
None;28002;0;0;75;Clouds;broken clouds;05/10/2012 09:00;5403
None;28011;0;0;75;Clouds;broken clouds;05/10/2012 10:00;4770
None;2800;0;0;90;Clouds;overcast clouds;05/10/2012 11:00;5217
None;28053;0;0;90;Clouds;overcast clouds;05/10/2012 12:00;5870
None;28143;0;0;75;Clouds;broken clouds;05/10/2012 13:00;5967
None;28178;0;0;90;Clouds;overcast clouds;05/10/2012 14:00;6108
None;28191;0;0;90;Clouds;overcast clouds;05/10/2012 15:00;6128
None;28173;0;0;90;Clouds;overcast clouds;05/10/2012 16:00;6069
None;28142;0;0;90;Clouds;overcast clouds;05/10/2012 17:00;6169
None;28087;0;0;90;Clouds;overcast clouds;05/10/2012 18:00;5384
None;28015;0;0;90;Clouds;overcast clouds;05/10/2012 19:00;4063
None;27978;0;0;90;Clouds;overcast clouds;05/10/2012 20:00;3364
None;27965;0;0;75;Clouds;broken clouds;05/10/2012 21:00;2971
None;27922;0;0;40;Clouds;scattered clouds;05/10/2012 22:00;2450
None;27906;0;0;40;Clouds;scattered clouds;05/10/2012 23:00;1832
None;27881;0;0;90;Clouds;overcast clouds;06/10/2012 00:00;1231
None;27855;0;0;90;Clouds;overcast clouds;06/10/2012 01:00;718
None;27859;0;0;90;Clouds;overcast clouds;06/10/2012 02:00;545
None;27699;0;0;75;Clouds;broken clouds;06/10/2012 04:00;411
None;27635;0;0;20;Clouds;few clouds;06/10/2012 05:00;688
None;2754;0;0;1;Clear;sky is clear;06/10/2012 06:00;1352
None;27517;0;0;1;Clear;sky is clear;06/10/2012 07:00;2072
None;27499;0;0;1;Clear;sky is clear;06/10/2012 08:00;3342
None;27509;0;0;40;Clouds;scattered clouds;06/10/2012 09:00;4258
None;27688;0;0;20;Clouds;few clouds;06/10/2012 10:00;4861
None;27804;0;0;20;Clouds;few clouds;06/10/2012 11:00;5191
None;27908;0;0;40;Clouds;scattered clouds;06/10/2012 12:00;5669
None;28012;0;0;75;Clouds;broken clouds;06/10/2012 13:00;5074
None;28025;0;0;75;Clouds;broken clouds;06/10/2012 14:00;5025
None;2800;0;0;75;Clouds;broken clouds;06/10/2012 15:00;5153
None;27906;0;0;90;Clouds;overcast clouds;06/10/2012 16:00;5024
None;27891;0;0;90;Clouds;overcast clouds;06/10/2012 17:00;4779
None;27839;0;0;90;Clouds;overcast clouds;06/10/2012 18:00;4362
None;27816;0;0;90;Clouds;overcast clouds;06/10/2012 19:00;3860
None;27816;0;0;90;Clouds;overcast clouds;06/10/2012 20:00;3160
None;27793;0;0;90;Clouds;overcast clouds;06/10/2012 21:00;2992
None;2769;0;0;90;Clouds;overcast clouds;06/10/2012 22:00;3202
None;27634;0;0;75;Clouds;broken clouds;06/10/2012 23:00;1941
None;27611;0;0;75;Clouds;broken clouds;07/10/2012 00:00;1233
None;27573;0;0;90;Clouds;overcast clouds;07/10/2012 03:00;323
None;27565;0;0;90;Clouds;overcast clouds;07/10/2012 04:00;312
None;27551;0;0;75;Clouds;broken clouds;07/10/2012 05:00;627
None;27505;0;0;90;Clouds;overcast clouds;07/10/2012 06:00;1508
None;27477;0;0;90;Clouds;overcast clouds;07/10/2012 07:00;1539
None;27477;0;0;75;Clouds;broken clouds;07/10/2012 08:00;2232
None;27555;0;0;75;Clouds;broken clouds;07/10/2012 09:00;4568
None;27624;0;0;75;Clouds;broken clouds;07/10/2012 10:00;4624
None;27701;0;0;90;Clouds;overcast clouds;07/10/2012 11:00;4529
None;27743;0;0;90;Clouds;overcast clouds;07/10/2012 12:00;5139
None;27845;0;0;90;Clouds;overcast clouds;07/10/2012 13:00;6640
None;27927;0;0;90;Clouds;overcast clouds;07/10/2012 14:00;6589
None;27927;0;0;90;Clouds;overcast clouds;07/10/2012 15:00;4429
None;27944;0;0;90;Clouds;overcast clouds;07/10/2012 16:00;4329
None;27932;0;0;90;Clouds;overcast clouds;07/10/2012 17:00;3833
None;27927;0;0;90;Clouds;overcast clouds;07/10/2012 18:00;4015
None;27811;0;0;90;Clouds;overcast clouds;07/10/2012 19:00;3382
None;27679;0;0;75;Clouds;broken clouds;07/10/2012 20:00;2815
None;27573;0;0;90;Clouds;overcast clouds;07/10/2012 21:00;2110
None;27488;0;0;75;Clouds;broken clouds;07/10/2012 22:00;1555
None;27392;0;0;20;Clouds;few clouds;07/10/2012 23:00;959
Columbus Day;27308;0;0;20;Clouds;few clouds;08/10/2012 00:00;455
None;27262;0;0;20;Clouds;few clouds;08/10/2012 01:00;336
None;27178;0;0;1;Clear;sky is clear;08/10/2012 02:00;265
None;27105;0;0;1;Clear;sky is clear;08/10/2012 03:00;314
None;27063;0;0;1;Clear;sky is clear;08/10/2012 04:00;779
None;27033;0;0;1;Clear;sky is clear;08/10/2012 05:00;2571
None;26961;0;0;20;Clouds;few clouds;08/10/2012 06:00;5563
None;27001;0;0;20;Clouds;few clouds;08/10/2012 07:00;6676
None;27123;0;0;20;Clouds;few clouds;08/10/2012 08:00;5966
None;27371;0;0;20;Clouds;few clouds;08/10/2012 09:00;4832
None;27677;0;0;20;Clouds;few clouds;08/10/2012 10:00;4395
None;27947;0;0;20;Clouds;few clouds;08/10/2012 11:00;4411
None;27984;0;0;1;Clear;sky is clear;08/10/2012 12:00;4648
None;28234;0;0;40;Clouds;scattered clouds;08/10/2012 13:00;4602
None;28294;0;0;40;Clouds;scattered clouds;08/10/2012 14:00;5125
None;28348;0;0;1;Clear;sky is clear;08/10/2012 15:00;5502
None;28433;0;0;1;Clear;sky is clear;08/10/2012 16:00;5979
None;28448;0;0;40;Clouds;scattered clouds;08/10/2012 17:00;5663
None;28423;0;0;40;Clouds;scattered clouds;08/10/2012 18:00;4259
None;28199;0;0;20;Clouds;few clouds;08/10/2012 19:00;3069
None;27981;0;0;1;Clear;sky is clear;08/10/2012 20:00;2378
None;27935;0;0;1;Clear;sky is clear;08/10/2012 21:00;2030
None;2789;0;0;1;Clear;sky is clear;08/10/2012 22:00;1400
None;27846;0;0;1;Clear;sky is clear;08/10/2012 23:00;917
None;27778;0;0;1;Clear;sky is clear;09/10/2012 00:00;515
None;27727;0;0;1;Clear;sky is clear;09/10/2012 01:00;302
None;27747;0;0;1;Clear;sky is clear;09/10/2012 02:00;251
None;27697;0;0;20;Clouds;few clouds;09/10/2012 04:00;798
None;27652;0;0;40;Clouds;scattered clouds;09/10/2012 05:00;2678
None;2766;0;0;40;Clouds;scattered clouds;09/10/2012 06:00;5733
None;27731;0;0;75;Clouds;broken clouds;09/10/2012 07:00;6449
None;27838;0;0;90;Clouds;overcast clouds;09/10/2012 08:00;5765
None;27935;0;0;90;Clouds;overcast clouds;09/10/2012 09:00;5599
None;28137;0;0;90;Clouds;overcast clouds;09/10/2012 10:00;4534
None;28311;0;0;90;Clouds;overcast clouds;09/10/2012 11:00;4691
None;28408;0;0;75;Clouds;broken clouds;09/10/2012 12:00;5067
None;28514;0;0;75;Clouds;broken clouds;09/10/2012 13:00;5030
None;28635;0;0;90;Clouds;overcast clouds;09/10/2012 14:00;5300
None;28723;0;0;100;Rain;light rain;09/10/2012 15:00;5777
None;28853;0;0;90;Clouds;overcast clouds;09/10/2012 16:00;6349
None;29037;0;0;90;Clouds;overcast clouds;09/10/2012 17:00;6127
None;29013;0;0;90;Clouds;overcast clouds;09/10/2012 18:00;4460
None;28886;0;0;75;Clouds;broken clouds;09/10/2012 19:00;3418
None;28736;0;0;90;Clouds;overcast clouds;09/10/2012 20:00;2775
None;28511;0;0;90;Clouds;overcast clouds;09/10/2012 21:00;2306
None;28346;0;0;90;Clouds;overcast clouds;09/10/2012 22:00;1846
None;28245;0;0;90;Clouds;overcast clouds;09/10/2012 23:00;947
None;28188;0;0;90;Clouds;overcast clouds;10/10/2012 00:00;494
None;28178;0;0;90;Clouds;overcast clouds;10/10/2012 01:00;332
None;28109;0;0;75;Clouds;broken clouds;10/10/2012 02:00;261
None;28117;0;0;90;Clouds;overcast clouds;10/10/2012 03:00;361
None;28125;0;0;92;Clear;sky is clear;10/10/2012 06:00;5875
None;28125;0;0;99;Rain;light rain;10/10/2012 07:00;6793
None;28125;0;0;99;Drizzle;light intensity drizzle;10/10/2012 07:00;6793
None;2801;0;0;99;Rain;light rain;10/10/2012 08:00;6283
None;2801;0;0;99;Drizzle;light intensity drizzle;10/10/2012 08:00;6283
None;27961;0;0;99;Rain;light rain;10/10/2012 09:00;5680
None;27961;0;0;99;Drizzle;light intensity drizzle;10/10/2012 09:00;5680
None;27967;0;0;99;Clear;sky is clear;10/10/2012 10:00;4632
None;28019;0;0;1;Clear;sky is clear;10/10/2012 11:00;4887
None;28209;0;0;75;Clouds;broken clouds;10/10/2012 12:00;5030
None;28226;0;0;75;Clouds;broken clouds;10/10/2012 13:00;5067
None;28205;0;0;90;Clouds;overcast clouds;10/10/2012 14:00;5227
None;28159;0;0;90;Clouds;overcast clouds;10/10/2012 15:00;5610
None;28123;0;0;81;Clear;sky is clear;10/10/2012 16:00;6286
None;2826;0;0;81;Clear;sky is clear;10/10/2012 18:00;4775
None;2826;0;0;81;Clear;sky is clear;10/10/2012 19:00;3340
None;2826;0;0;81;Clear;sky is clear;10/10/2012 20:00;3013
None;2826;0;0;81;Clear;sky is clear;10/10/2012 21:00;2603
None;2826;0;0;81;Clear;sky is clear;10/10/2012 22:00;1910
None;2826;0;0;81;Clear;sky is clear;10/10/2012 23:00;1037
None;2739;0;0;1;Clear;sky is clear;11/10/2012 01:00;347
None;2744;0;0;75;Clouds;broken clouds;11/10/2012 03:00;350
None;27405;0;0;75;Clouds;broken clouds;11/10/2012 04:00;850
None;27371;0;0;40;Clouds;scattered clouds;11/10/2012 05:00;2791
None;27266;0;0;1;Clear;sky is clear;11/10/2012 06:00;5809
None;27265;0;0;1;Clear;sky is clear;11/10/2012 07:00;6798
None;27252;0;0;1;Clear;sky is clear;11/10/2012 08:00;6304
None;27519;0;0;20;Clouds;few clouds;11/10/2012 09:00;5291
None;27534;0;0;1;Clear;sky is clear;11/10/2012 10:00;4638
None;2841;0;0;50;Clear;sky is clear;11/10/2012 14:00;5557
None;2841;0;0;50;Clear;sky is clear;11/10/2012 15:00;5818
None;28378;0;0;75;Clouds;broken clouds;11/10/2012 16:00;6272
None;28352;0;0;75;Clouds;broken clouds;11/10/2012 17:00;5944
None;28332;0;0;90;Clouds;overcast clouds;11/10/2012 18:00;4949
None;28206;0;0;90;Clouds;overcast clouds;11/10/2012 19:00;3511
None;28195;0;0;90;Clouds;overcast clouds;11/10/2012 20:00;3039
None;28181;0;0;90;Clouds;overcast clouds;11/10/2012 21:00;2679
None;28216;0;0;90;Clouds;overcast clouds;11/10/2012 22:00;2094
None;28253;0;0;90;Clouds;overcast clouds;11/10/2012 23:00;1284
None;28391;0;0;90;Clouds;overcast clouds;12/10/2012 00:00;630
None;28464;0;0;90;Clouds;overcast clouds;12/10/2012 01:00;410
None;28461;0;0;90;Clouds;overcast clouds;12/10/2012 02:00;331
None;28318;0;0;72;Drizzle;light intensity drizzle;12/10/2012 03:00;372
None;28226;0;0;72;Rain;light rain;12/10/2012 04:00;739
None;28077;0;0;72;Drizzle;light intensity drizzle;12/10/2012 05:00;2561
None;27853;0;0;75;Clouds;broken clouds;12/10/2012 06:00;5586
None;27764;0;0;75;Clouds;broken clouds;12/10/2012 07:00;6992
None;2779;0;0;90;Clouds;overcast clouds;12/10/2012 08:00;5860
None;27818;0;0;90;Clouds;overcast clouds;12/10/2012 09:00;5230
None;27929;0;0;75;Clouds;broken clouds;12/10/2012 10:00;4864
None;28045;0;0;75;Clouds;broken clouds;12/10/2012 11:00;5146
None;28095;0;0;40;Clouds;scattered clouds;12/10/2012 12:00;5526
None;28174;0;0;40;Clouds;scattered clouds;12/10/2012 13:00;5383
None;28184;0;0;75;Clouds;broken clouds;12/10/2012 14:00;5758
None;28245;0;0;75;Clouds;broken clouds;12/10/2012 15:00;5889
None;2822;0;0;75;Clouds;broken clouds;12/10/2012 16:00;6057
None;28154;0;0;40;Clouds;scattered clouds;12/10/2012 17:00;6028
None;28021;0;0;20;Clouds;few clouds;12/10/2012 18:00;5257
None;2822;0;0;56;Clear;sky is clear;12/10/2012 23:00;1897
None;27258;0;0;1;Clear;sky is clear;13/10/2012 00:00;1335
None;27206;0;0;1;Clear;sky is clear;13/10/2012 01:00;769
None;27099;0;0;1;Clear;sky is clear;13/10/2012 02:00;570
None;27029;0;0;20;Clouds;few clouds;13/10/2012 03:00;413
None;26948;0;0;1;Clear;sky is clear;13/10/2012 04:00;399
None;26927;0;0;1;Clear;sky is clear;13/10/2012 05:00;740
None;26891;0;0;1;Clear;sky is clear;13/10/2012 06:00;1420
None;26898;0;0;75;Clouds;broken clouds;13/10/2012 07:00;2220
None;26923;0;0;40;Clouds;scattered clouds;13/10/2012 08:00;3479
None;27261;0;0;40;Clouds;scattered clouds;13/10/2012 09:00;4546
None;27678;0;0;20;Clouds;few clouds;13/10/2012 10:00;4579
None;27922;0;0;1;Clear;sky is clear;13/10/2012 11:00;4438
None;28035;0;0;1;Clear;sky is clear;13/10/2012 12:00;4623
None;28181;0;0;1;Clear;sky is clear;13/10/2012 13:00;4440
None;28305;0;0;1;Clear;sky is clear;13/10/2012 14:00;4495
None;28396;0;0;1;Clear;sky is clear;13/10/2012 15:00;4483
None;28453;0;0;1;Clear;sky is clear;13/10/2012 16:00;4591
None;28444;0;0;1;Clear;sky is clear;13/10/2012 17:00;4477
None;28364;0;0;1;Clear;sky is clear;13/10/2012 18:00;4221
None;28185;0;0;20;Clouds;few clouds;13/10/2012 19:00;3672
None;28138;0;0;1;Clear;sky is clear;13/10/2012 20:00;3015
None;28184;0;0;75;Clouds;broken clouds;13/10/2012 21:00;2769
None;28223;0;0;90;Clouds;overcast clouds;13/10/2012 22:00;2875
None;28218;0;0;90;Clouds;overcast clouds;13/10/2012 23:00;1931
None;28249;0;0;90;Clouds;overcast clouds;14/10/2012 00:00;1309
None;28254;0;0;90;Clouds;overcast clouds;14/10/2012 01:00;870
None;28258;0;0;90;Clouds;overcast clouds;14/10/2012 02:00;654
None;28223;0;0;90;Clouds;overcast clouds;14/10/2012 03:00;364
None;28208;0;0;90;Clouds;overcast clouds;14/10/2012 04:00;262
None;28223;0;0;90;Clouds;overcast clouds;14/10/2012 05:00;505
None;28224;0;0;90;Clouds;overcast clouds;14/10/2012 06:00;861
None;28224;0;0;90;Clouds;overcast clouds;14/10/2012 07:00;1132
None;28224;0;0;57;Mist;mist;14/10/2012 08:00;1797
None;28243;0;0;57;Drizzle;light intensity drizzle;14/10/2012 09:00;2685
None;28243;0;0;57;Mist;mist;14/10/2012 09:00;2685
None;28243;0;0;57;Haze;haze;14/10/2012 09:00;2685
None;28233;0;0;57;Drizzle;light intensity drizzle;14/10/2012 10:00;3370
None;28233;0;0;57;Mist;mist;14/10/2012 10:00;3370
None;28282;0;0;57;Drizzle;light intensity drizzle;14/10/2012 11:00;3662
None;28282;0;0;57;Mist;mist;14/10/2012 11:00;3662
None;28333;0;0;57;Mist;mist;14/10/2012 12:00;4076
None;28333;0;0;57;Rain;light rain;14/10/2012 12:00;4076
None;28333;0;0;57;Drizzle;light intensity drizzle;14/10/2012 12:00;4076
None;28375;0;0;93;Rain;light rain;14/10/2012 13:00;4128
None;28375;0;0;93;Mist;mist;14/10/2012 13:00;4128
None;28375;0;0;93;Drizzle;light intensity drizzle;14/10/2012 13:00;4128
None;28409;0;0;93;Mist;mist;14/10/2012 14:00;4358
None;28409;0;0;93;Rain;light rain;14/10/2012 14:00;4358
None;28409;0;0;93;Drizzle;light intensity drizzle;14/10/2012 14:00;4358
None;28455;0;0;93;Mist;mist;14/10/2012 15:00;4342
None;28455;0;0;93;Rain;light rain;14/10/2012 15:00;4342
None;28468;0;0;93;Mist;mist;14/10/2012 16:00;4234
None;28464;0;0;93;Rain;light rain;14/10/2012 17:00;4271
None;28464;0;0;93;Mist;mist;14/10/2012 17:00;4271
None;2844;0;0;93;Mist;mist;14/10/2012 18:00;4080
None;28417;0;0;93;Mist;mist;14/10/2012 19:00;3453
None;28403;0;0;93;Mist;mist;14/10/2012 20:00;2718
None;28358;0;0;93;Mist;mist;14/10/2012 21:00;2439
None;28304;0;0;93;Mist;mist;14/10/2012 22:00;1819
None;28195;0;0;93;Mist;mist;14/10/2012 23:00;1002
None;28195;0;0;93;Fog;fog;14/10/2012 23:00;1002
None;28161;0;0;93;Mist;mist;15/10/2012 00:00;542
None;28161;0;0;93;Fog;fog;15/10/2012 00:00;542
None;28157;0;0;85;Fog;fog;15/10/2012 01:00;303
None;28142;0;0;85;Fog;fog;15/10/2012 02:00;239
None;28129;0;0;85;Mist;mist;15/10/2012 03:00;335
None;28129;0;0;85;Fog;fog;15/10/2012 03:00;335
None;28102;0;0;85;Mist;mist;15/10/2012 04:00;810
None;28102;0;0;85;Fog;fog;15/10/2012 04:00;810
None;28082;0;0;85;Mist;mist;15/10/2012 05:00;2606
None;28082;0;0;85;Fog;fog;15/10/2012 05:00;2606
None;28039;0;0;85;Mist;mist;15/10/2012 06:00;5714
None;28019;0;0;100;Mist;mist;15/10/2012 07:00;6798
None;27982;0;0;100;Mist;mist;15/10/2012 08:00;6114
None;27975;0;0;100;Mist;mist;15/10/2012 09:00;5094
None;28007;0;0;100;Mist;mist;15/10/2012 10:00;4473
None;28032;0;0;90;Clouds;overcast clouds;15/10/2012 11:00;4529
None;28172;0;0;100;Clear;sky is clear;15/10/2012 12:00;4823
None;28401;0;0;40;Clouds;scattered clouds;15/10/2012 13:00;4872
None;28588;0;0;1;Clear;sky is clear;15/10/2012 14:00;5238
None;28687;0;0;1;Clear;sky is clear;15/10/2012 15:00;5584
None;2876;0;0;20;Clouds;few clouds;15/10/2012 16:00;6246
None;28727;0;0;20;Clouds;few clouds;15/10/2012 17:00;5957
None;28618;0;0;20;Clouds;few clouds;15/10/2012 18:00;4535
None;2852;0;0;75;Clouds;broken clouds;15/10/2012 19:00;3234
None;28468;0;0;75;Clouds;broken clouds;15/10/2012 20:00;2677
None;28449;0;0;90;Clouds;overcast clouds;15/10/2012 21:00;2077
None;28354;0;0;20;Clouds;few clouds;15/10/2012 22:00;1380
None;28233;0;0;75;Clouds;broken clouds;15/10/2012 23:00;927
None;28121;0;0;20;Clouds;few clouds;16/10/2012 00:00;500
None;27987;0;0;1;Clear;sky is clear;16/10/2012 01:00;324
None;27893;0;0;1;Clear;sky is clear;16/10/2012 02:00;257
None;27791;0;0;1;Clear;sky is clear;16/10/2012 03:00;354
None;27721;0;0;1;Clear;sky is clear;16/10/2012 04:00;769
None;27661;0;0;1;Clear;sky is clear;16/10/2012 05:00;2769
None;27611;0;0;1;Clear;sky is clear;16/10/2012 06:00;5789
None;27481;0;0;20;Clouds;few clouds;16/10/2012 07:00;7055
None;27499;0;0;20;Clouds;few clouds;16/10/2012 08:00;6408
None;27791;0;0;20;Clouds;few clouds;16/10/2012 09:00;5254
None;28071;0;0;20;Clouds;few clouds;16/10/2012 10:00;4547
None;28385;0;0;20;Clouds;few clouds;16/10/2012 11:00;4784
None;28601;0;0;40;Clouds;scattered clouds;16/10/2012 12:00;5015
None;28631;0;0;1;Clear;sky is clear;16/10/2012 13:00;5057
None;28815;0;0;75;Clouds;broken clouds;16/10/2012 14:00;5430
None;28915;0;0;75;Clouds;broken clouds;16/10/2012 15:00;5813
None;28899;0;0;75;Clouds;broken clouds;16/10/2012 16:00;6496
None;28886;0;0;75;Clouds;broken clouds;16/10/2012 17:00;6429
None;28816;0;0;90;Clouds;overcast clouds;16/10/2012 18:00;5142
None;28728;0;0;68;Rain;light rain;16/10/2012 19:00;3311
None;28704;0;0;90;Clouds;overcast clouds;16/10/2012 20:00;2777
None;2869;0;0;90;Clouds;overcast clouds;16/10/2012 21:00;2331
None;28709;0;0;90;Clouds;overcast clouds;16/10/2012 22:00;1767
None;28709;0;0;90;Clouds;overcast clouds;16/10/2012 23:00;1093
None;28689;0;0;75;Clouds;broken clouds;17/10/2012 00:00;554
None;28693;0;0;75;Clouds;broken clouds;17/10/2012 01:00;333
None;28693;0;0;90;Clouds;overcast clouds;17/10/2012 02:00;267
None;28707;0;0;90;Clouds;overcast clouds;17/10/2012 03:00;358
None;28656;0;0;75;Clouds;broken clouds;17/10/2012 04:00;777
None;28591;0;0;90;Clouds;overcast clouds;17/10/2012 05:00;2732
None;28529;0;0;90;Clouds;overcast clouds;17/10/2012 06:00;5637
None;28492;0;0;75;Clouds;broken clouds;17/10/2012 07:00;5564
None;28535;0;0;75;Clouds;broken clouds;17/10/2012 08:00;6274
None;28572;0;0;100;Rain;proximity shower rain;17/10/2012 09:00;5403
None;28572;0;0;100;Rain;light rain;17/10/2012 09:00;5403
None;28709;0;0;75;Clouds;broken clouds;17/10/2012 10:00;4680
None;28831;0;0;75;Clouds;broken clouds;17/10/2012 11:00;4642
None;28861;0;0;1;Clear;sky is clear;17/10/2012 12:00;4979
None;29032;0;0;1;Clear;sky is clear;17/10/2012 13:00;4851
None;29136;0;0;1;Clear;sky is clear;17/10/2012 14:00;4291
None;29201;0;0;1;Clear;sky is clear;17/10/2012 15:00;4714
None;29261;0;0;1;Clear;sky is clear;17/10/2012 16:00;6723
None;29265;0;0;1;Clear;sky is clear;17/10/2012 17:00;6180
None;29052;0;0;40;Clouds;scattered clouds;17/10/2012 18:00;4843
None;28835;0;0;40;Clouds;scattered clouds;17/10/2012 19:00;3435
None;28672;0;0;40;Clouds;scattered clouds;17/10/2012 20:00;2921
None;28549;0;0;40;Clouds;scattered clouds;17/10/2012 21:00;2763
None;28422;0;0;20;Clouds;few clouds;17/10/2012 22:00;1930
None;2838;0;0;20;Clouds;few clouds;17/10/2012 23:00;1160
None;28372;0;0;20;Clouds;few clouds;18/10/2012 00:00;654
None;2828;0;0;40;Clouds;scattered clouds;18/10/2012 01:00;374
None;28232;0;0;99;Mist;mist;18/10/2012 02:00;301
None;28238;0;0;99;Mist;mist;18/10/2012 03:00;397
None;28276;0;0;90;Clouds;overcast clouds;18/10/2012 04:00;794
None;28288;0;0;99;Mist;mist;18/10/2012 05:00;2564
None;28418;0;0;75;Clouds;broken clouds;18/10/2012 06:00;5358
None;28469;0;0;90;Clouds;overcast clouds;18/10/2012 07:00;6441
None;2850;0;0;90;Clouds;overcast clouds;18/10/2012 08:00;5536
None;2869;0;0;99;Rain;light rain;18/10/2012 09:00;5256
None;28835;0;0;90;Clouds;overcast clouds;18/10/2012 10:00;4619
None;28959;0;0;90;Clouds;overcast clouds;18/10/2012 11:00;5107
None;28827;0;0;99;Rain;light rain;18/10/2012 12:00;5147
None;28641;0;0;90;Clouds;overcast clouds;18/10/2012 13:00;5283
None;28596;0;0;90;Clouds;overcast clouds;18/10/2012 14:00;5704
None;28704;0;0;90;Clouds;overcast clouds;18/10/2012 15:00;5887
None;28718;0;0;90;Clouds;overcast clouds;18/10/2012 16:00;6307
None;28694;0;0;90;Clouds;overcast clouds;18/10/2012 17:00;5953
